image,brightness,cloud_density
image10.png,196.18631969107616,0.47208833643384635
image12.png,122.7104631800521,0.0033121119566635023
image13.png,157.50236584679814,0.00399412444916711
image14.png,204.69428007889547,0.8554522400676247
image15.png,208.36302565930148,0.8977904490377762
image16.png,233.1073083077493,0.9798057252317032
image18.png,162.22217933100487,0.1101708431668512
image2.png,98.42854151268786,0.010562946538556295
image20.png,167.63344517842788,0.10420317859764226
image21.png,164.64766561356,0.09837520686023771
image3.png,109.08343209564026,0.010850429759863766
image4.png,161.7833453423587,0.0142535291311893
image5.png,123.51017636104721,0.01245262350750356
image6.png,127.46902914603645,0.011995303966106886
image7.png,96.07479205202256,0.011552024488446052
image8.png,129.48228310315986,0.056445196956406436
image9.png,77.9323205004405,0.004828204408092917
